web-scraper-start-url,link-href
https://www.skysports.com/serie-a-results/2019-20,https://www.skysports.com/football/spal-vs-juventus/419321
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/carpi-vs-frosinone/350530
https://www.skysports.com/bundesliga-results/2018-19,https://www.skysports.com/football/f-dusseldorf-vs-mgladbach/395193
https://www.skysports.com/bundesliga-results/2017-18,https://www.skysports.com/football/frankfurt-vs-hannover/377731
https://www.skysports.com/la-liga-results/2018-19,https://www.skysports.com/football/r-madrid-vs-ath-bilbao/399632
https://www.skysports.com/la-liga-results/2011-12,https://www.skysports.com/football/osasuna-vs-sevilla/249983
https://www.skysports.com/premier-league-results/2015-16,https://www.skysports.com/football/a-villa-vs-c-palace/341387
https://www.skysports.com/la-liga-results/2014-15,https://www.skysports.com/football/malaga-vs-granada/326058
https://www.skysports.com/la-liga-results/2014-15,https://www.skysports.com/football/celta-vigo-vs-elche/322385
https://www.skysports.com/premier-league-results/2011-12,https://www.skysports.com/football/qpr-vs-a-villa/245407
https://www.skysports.com/la-liga-results/2012-13,https://www.skysports.com/football/getafe-vs-valladolid/268301
https://www.skysports.com/premier-league-results/2019-20,https://www.skysports.com/football/watford-vs-bmouth/408079
https://www.skysports.com/premier-league-results/2011-12,https://www.skysports.com/football/w-brom-vs-fulham/237935
https://www.skysports.com/premier-league-results/2016-17,https://www.skysports.com/football/man-city-vs-chelsea/356468
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/inter-vs-fiorentina/350304
https://www.skysports.com/bundesliga-results/2015-16,https://www.skysports.com/football/w-bremen-vs-b-dortmund/344146
https://www.skysports.com/bundesliga-results/2010-11,https://www.skysports.com/football/frankfurt-vs-stuttgart/232426
https://www.skysports.com/la-liga-results/2016-17,https://www.skysports.com/football/celta-vigo-vs-villarreal/362951
https://www.skysports.com/bundesliga-results/2010-11,https://www.skysports.com/football/klautern-vs-hoffenheim/221043
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/fiorentina-vs-roma/350333
https://www.skysports.com/premier-league-results/2012-13,https://www.skysports.com/football/everton-vs-soton/261613
https://www.skysports.com/premier-league-results/2017-18,https://www.skysports.com/football/everton-vs-stoke/373101
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/chievo-vs-sassuolo/350491
https://www.skysports.com/serie-a-results/2011-12,https://www.skysports.com/football/novara-vs-lecce/247547
https://www.skysports.com/bundesliga-results/2016-17,https://www.skysports.com/football/ingolstadt-vs-b-dortmund/360284
https://www.skysports.com/bundesliga-results/2017-18,https://www.skysports.com/football/cologne-vs-fc-augsburg/377684
https://www.skysports.com/serie-a-results/2018-19,https://www.skysports.com/football/juventus-vs-torino/400174
https://www.skysports.com/serie-a-results/2013-14,https://www.skysports.com/football/genoa-vs-atalanta/299370
https://www.skysports.com/serie-a-results/2010-11,https://www.skysports.com/football/chievo-vs-ac-milan/225525
https://www.skysports.com/la-liga-results/2014-15,https://www.skysports.com/football/valencia-vs-a-madrid/326055
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/udinese-vs-verona/350519
https://www.skysports.com/premier-league-results/2012-13,https://www.skysports.com/football/reading-vs-qpr/283166
https://www.skysports.com/la-liga-results/2018-19,https://www.skysports.com/football/r-madrid-vs-sd-huesca/399591
https://www.skysports.com/premier-league-results/2016-17,https://www.skysports.com/football/watford-vs-chelsea/356352
https://www.skysports.com/bundesliga-results/2019-20,https://www.skysports.com/football/freiburg-vs-hoffenheim/412920
https://www.skysports.com/la-liga-results/2010-11,https://www.skysports.com/football/sporting-g-vs-espanyol/224128
https://www.skysports.com/serie-a-results/2019-20,https://www.skysports.com/football/brescia-vs-atalanta/419204
https://www.skysports.com/la-liga-results/2012-13,https://www.skysports.com/football/sociedad-vs-celta-vigo/273183
https://www.skysports.com/premier-league-results/2011-12,https://www.skysports.com/football/w-brom-vs-stoke/248665
https://www.skysports.com/bundesliga-results/2018-19,https://www.skysports.com/football/stuttgart-vs-bay-munich/394973
https://www.skysports.com/bundesliga-results/2010-11,https://www.skysports.com/football/b-dortmund-vs-schalke/230114
https://www.skysports.com/la-liga-results/2015-16,https://www.skysports.com/football/valencia-vs-eibar/347906
https://www.skysports.com/serie-a-results/2012-13,https://www.skysports.com/football/atalanta-vs-genoa/271709
https://www.skysports.com/serie-a-results/2019-20,https://www.skysports.com/football/lazio-vs-spal/419288
https://www.skysports.com/serie-a-results/2017-18,https://www.skysports.com/football/udinese-vs-napoli/383120
https://www.skysports.com/la-liga-results/2018-19,https://www.skysports.com/football/sociedad-vs-celta-vigo/399430
https://www.skysports.com/bundesliga-results/2018-19,https://www.skysports.com/football/w-bremen-vs-nurnberg/394980
https://www.skysports.com/la-liga-results/2018-19,https://www.skysports.com/football/r-vallecano-vs-getafe/399388
https://www.skysports.com/la-liga-results/2018-19,https://www.skysports.com/football/getafe-vs-barcelona/399478
https://www.skysports.com/la-liga-results/2017-18,https://www.skysports.com/football/las-palmas-vs-celta-vigo/382629
https://www.skysports.com/serie-a-results/2016-17,https://www.skysports.com/football/napoli-vs-empoli/365730
https://www.skysports.com/premier-league-results/2012-13,https://www.skysports.com/football/arsenal-vs-wigan/285706
https://www.skysports.com/serie-a-results/2018-19,https://www.skysports.com/football/spal-vs-lazio/400128
https://www.skysports.com/premier-league-results/2017-18,https://www.skysports.com/football/leicester-vs-liverpool/373151
https://www.skysports.com/la-liga-results/2019-20,https://www.skysports.com/football/r-madrid-vs-valencia/415919
https://www.skysports.com/serie-a-results/2014-15,https://www.skysports.com/football/napoli-vs-sampdoria/323534
https://www.skysports.com/bundesliga-results/2018-19,https://www.skysports.com/football/hertha-vs-hannover/395223
https://www.skysports.com/premier-league-results/2015-16,https://www.skysports.com/football/bmouth-vs-watford/341259
