name,team,position,rating,number,age,season
kingsley-schindler-fifa-20,1-fc-koln,RM,73,11,27,fifa20
simon-terodde-fifa-20,1-fc-koln,ST,76,9,32,fifa20
anthony-modeste-fifa-20,1-fc-koln,ST,76,27,32,fifa20
brady-scott-fifa-20,1-fc-koln,GK,59,31,21,fifa20
jorge-mere-fifa-20,1-fc-koln,CB,74,22,23,fifa20
elvis-rexhbecaj-fifa-20,1-fc-koln,CM,72,20,22,fifa20
julian-krahl-fifa-20,1-fc-koln,GK,58,32,20,fifa20
birger-verstraete-fifa-20,1-fc-koln,CDM,74,8,26,fifa20
niklas-hauptmann-fifa-20,1-fc-koln,CM,67,36,24,fifa20
marcel-risse-fifa-20,1-fc-koln,RM,73,7,30,fifa20
manuel-neuer-fifa-20,fc-bayern-munchen,GK,89,1,34,fifa20
benjamin-pavard-fifa-20,fc-bayern-munchen,RB,80,5,24,fifa20
jerome-boateng-fifa-20,fc-bayern-munchen,RCB,81,17,31,fifa20
david-alaba-fifa-20,fc-bayern-munchen,LCB,83,27,28,fifa20
alphonso-davies-fifa-20,fc-bayern-munchen,LB,77,19,19,fifa20
joshua-kimmich-fifa-20,fc-bayern-munchen,CDM,87,32,25,fifa20
leon-goretzka-fifa-20,fc-bayern-munchen,RCM,84,18,25,fifa20
thiago-fifa-20,fc-bayern-munchen,LCM,86,6,29,fifa20
thomas-muller-fifa-20,fc-bayern-munchen,RW,85,25,30,fifa20
robert-lewandowski-fifa-20,fc-bayern-munchen,ST,91,9,31,fifa20
serge-gnabry-fifa-20,fc-bayern-munchen,LW,85,22,25,fifa20
mickael-cuisance-fifa-20,fc-bayern-munchen,CM,72,11,20,fifa20
joshua-zirkzee-fifa-20,fc-bayern-munchen,ST,66,35,19,fifa20
javi-martinez-fifa-20,fc-bayern-munchen,CDM,82,8,31,fifa20
jann-fiete-arp-fifa-20,fc-bayern-munchen,ST,67,15,20,fifa20
niklas-sule-fifa-20,fc-bayern-munchen,CB,85,4,24,fifa20
ivan-perisic-fifa-20,fc-bayern-munchen,LM,83,14,31,fifa20
corentin-tolisso-fifa-20,fc-bayern-munchen,CM,82,24,25,fifa20
kingsley-coman-fifa-20,fc-bayern-munchen,LM,84,29,24,fifa20
sven-ulreich-fifa-20,fc-bayern-munchen,GK,79,26,31,fifa20
odriozola-fifa-20,fc-bayern-munchen,RB,79,2,24,fifa20
lucas-hernandez-fifa-20,fc-bayern-munchen,CB,84,21,24,fifa20
coutinho-fifa-20,fc-bayern-munchen,CAM,85,10,28,fifa20
roman-burki-fifa-20,borussia-dortmund,GK,85,1,29,fifa20
lukasz-piszczek-fifa-20,borussia-dortmund,RCB,80,26,35,fifa20
mats-hummels-fifa-20,borussia-dortmund,CB,87,15,31,fifa20
dan-axel-zagadou-fifa-20,borussia-dortmund,LCB,79,2,21,fifa20
achraf-hakimi-fifa-20,borussia-dortmund,RM,82,5,21,fifa20
emre-can-fifa-20,borussia-dortmund,RCM,82,27,26,fifa20
axel-witsel-fifa-20,borussia-dortmund,LCM,85,28,31,fifa20
raphael-guerreiro-fifa-20,borussia-dortmund,LM,83,13,26,fifa20
jadon-sancho-fifa-20,borussia-dortmund,RF,86,7,20,fifa20
marco-reus-fifa-20,borussia-dortmund,LF,87,11,31,fifa20
erling-braut-haaland-fifa-20,borussia-dortmund,ST,80,17,19,fifa20
julian-brandt-fifa-20,borussia-dortmund,CAM,84,19,24,fifa20
marwin-hitz-fifa-20,borussia-dortmund,GK,78,35,32,fifa20
mario-gotze-fifa-20,borussia-dortmund,CF,80,10,28,fifa20
marcel-schmelzer-fifa-20,borussia-dortmund,LB,74,29,32,fifa20
mateu-morey-fifa-20,borussia-dortmund,RB,64,22,20,fifa20
leonardo-balerdi-fifa-20,borussia-dortmund,CB,68,18,21,fifa20
thomas-delaney-fifa-20,borussia-dortmund,CDM,82,6,28,fifa20
mahmoud-dahoud-fifa-20,borussia-dortmund,CM,77,8,24,fifa20
thorgan-hazard-fifa-20,borussia-dortmund,LM,83,23,27,fifa20
manuel-akanji-fifa-20,borussia-dortmund,CB,79,16,24,fifa20
nico-schulz-fifa-20,borussia-dortmund,LB,79,14,27,fifa20
giovanni-reyna-fifa-20,borussia-dortmund,LM,66,32,17,fifa20
dominik-wanner-fifa-20,borussia-dortmund,LM,60,45,21,fifa20
eric-oelschlagel-fifa-20,borussia-dortmund,GK,65,40,24,fifa20
tobias-raschl-fifa-20,borussia-dortmund,CDM,62,37,20,fifa20
luca-unbehaun-fifa-20,borussia-dortmund,GK,61,25,19,fifa20
patrick-osterhage-fifa-20,borussia-dortmund,CM,57,31,20,fifa20
jonas-hupe-fifa-20,borussia-dortmund,GK,51,20,20,fifa20
alaa-bakir-fifa-20,borussia-dortmund,RM,59,43,19,fifa20
kamal-bafounta-fifa-20,borussia-dortmund,CM,59,44,18,fifa20
tomas-koubek-fifa-20,fc-augsburg,GK,74,21,27,fifa20
stephan-lichtsteiner-fifa-20,fc-augsburg,RB,72,2,36,fifa20
jeffrey-gouweleeuw-fifa-20,fc-augsburg,RCB,78,6,29,fifa20
tin-jedvaj-fifa-20,fc-augsburg,LCB,75,18,24,fifa20
philipp-max-fifa-20,fc-augsburg,LB,78,31,26,fifa20
rani-khedira-fifa-20,fc-augsburg,RDM,75,8,26,fifa20
daniel-baier-fifa-20,fc-augsburg,LDM,77,10,36,fifa20
marco-richter-fifa-20,fc-augsburg,RM,74,23,22,fifa20
ruben-vargas-fifa-20,fc-augsburg,LM,73,16,21,fifa20
alfred-finnbogason-fifa-20,fc-augsburg,RS,78,27,31,fifa20
florian-niederlechner-fifa-20,fc-augsburg,LS,78,7,29,fifa20
jan-moravek-fifa-20,fc-augsburg,CM,72,14,30,fifa20
andre-hahn-fifa-20,fc-augsburg,RM,73,28,29,fifa20
marek-suchy-fifa-20,fc-augsburg,CB,74,5,32,fifa20
noah-joel-sarenren-bazee-fifa-20,fc-augsburg,RM,70,17,23,fifa20
maurice-malone-fifa-20,fc-augsburg,ST,61,37,19,fifa20
sergio-cordova-fifa-20,fc-augsburg,ST,71,9,22,fifa20
eduard-lowen-fifa-20,fc-augsburg,CM,74,29,23,fifa20
fredrik-jensen-fifa-20,fc-augsburg,CAM,72,24,22,fifa20
andreas-luthe-fifa-20,fc-augsburg,GK,72,1,33,fifa20
iago-fifa-20,fc-augsburg,LB,74,22,23,fifa20
felix-uduokhai-fifa-20,fc-augsburg,CB,76,19,22,fifa20
carlos-gruezo-fifa-20,fc-augsburg,CDM,72,25,25,fifa20
stefano-russo-fifa-20,fc-augsburg,CDM,59,43,20,fifa20
reece-oxford-fifa-20,fc-augsburg,CB,67,36,21,fifa20
raphael-framberger-fifa-20,fc-augsburg,RB,69,32,24,fifa20
kilian-jakob-fifa-20,fc-augsburg,LB,61,30,22,fifa20
georg-teigl-fifa-20,fc-augsburg,RB,68,34,29,fifa20
felix-gotze-fifa-20,fc-augsburg,CB,66,4,22,fifa20
julian-schieber-fifa-20,fc-augsburg,ST,72,20,31,fifa20
fabian-giefer-fifa-20,fc-augsburg,GK,70,13,30,fifa20
felix-schwarzholz-fifa-20,fc-augsburg,CDM,60,33,20,fifa20
jozo-stanic-fifa-20,fc-augsburg,CB,60,15,21,fifa20
florian-kastenmeier-fifa-20,fortuna-dusseldorf,GK,64,33,23,fifa20
matthias-zimmermann-fifa-20,fortuna-dusseldorf,RWB,72,25,28,fifa20
kaan-ayhan-fifa-20,fortuna-dusseldorf,RCB,76,5,25,fifa20
andre-hoffmann-fifa-20,fortuna-dusseldorf,CB,72,3,27,fifa20
markus-suttner-fifa-20,fortuna-dusseldorf,LCB,72,29,33,fifa20
erik-thommy-fifa-20,fortuna-dusseldorf,LWB,73,15,25,fifa20
alfredo-morales-fifa-20,fortuna-dusseldorf,RCM,73,6,30,fifa20
kevin-stoger-fifa-20,fortuna-dusseldorf,CM,77,22,26,fifa20
valon-berisha-fifa-20,fortuna-dusseldorf,LCM,75,10,27,fifa20
rouwen-hennings-fifa-20,fortuna-dusseldorf,RS,75,28,32,fifa20
kenan-karaman-fifa-20,fortuna-dusseldorf,LS,73,11,26,fifa20
oliver-fink-fifa-20,fortuna-dusseldorf,CM,72,7,38,fifa20
nana-ampomah-fifa-20,fortuna-dusseldorf,LM,72,27,24,fifa20
dawid-kownacki-fifa-20,fortuna-dusseldorf,ST,72,9,23,fifa20
robin-bormuth-fifa-20,fortuna-dusseldorf,CB,70,32,24,fifa20
thomas-pledl-fifa-20,fortuna-dusseldorf,RM,70,18,26,fifa20
aymen-barkok-fifa-20,fortuna-dusseldorf,CM,70,8,22,fifa20
michael-rensing-fifa-20,fortuna-dusseldorf,GK,70,1,36,fifa20
jean-zimmer-fifa-20,fortuna-dusseldorf,RB,71,39,26,fifa20
zack-steffen-fifa-20,fortuna-dusseldorf,GK,77,24,25,fifa20
niko-giesselmann-fifa-20,fortuna-dusseldorf,LB,72,23,28,fifa20
kasim-adams-nuhu-fifa-20,fortuna-dusseldorf,CB,73,4,25,fifa20
marcel-sobottka-fifa-20,fortuna-dusseldorf,CDM,72,31,26,fifa20
michel-stocker-fifa-20,fortuna-dusseldorf,CB,59,35,21,fifa20
steven-skrzybski-fifa-20,fortuna-dusseldorf,ST,72,20,27,fifa20
bernard-tekpetey-fifa-20,fortuna-dusseldorf,RM,72,37,22,fifa20
adam-bodzek-fifa-20,fortuna-dusseldorf,CDM,70,13,34,fifa20
zanka-fifa-20,fortuna-dusseldorf,CB,76,19,30,fifa20
kelvin-ofori-fifa-20,fortuna-dusseldorf,LM,63,14,18,fifa20
shinta-appelkamp-fifa-20,fortuna-dusseldorf,CAM,62,36,19,fifa20
rune-almenning-jarstein-fifa-20,hertha-bsc,GK,81,22,35,fifa20
lukas-klunter-fifa-20,hertha-bsc,RB,71,13,24,fifa20
dedryck-boyata-fifa-20,hertha-bsc,RCB,77,20,29,fifa20
karim-rekik-fifa-20,hertha-bsc,LCB,76,4,25,fifa20
maximilian-mittelstadt-fifa-20,hertha-bsc,LB,74,17,23,fifa20
santiago-ascacibar-fifa-20,hertha-bsc,RDM,76,18,23,fifa20
per-ciljan-skjelbred-fifa-20,hertha-bsc,LDM,76,3,33,fifa20
florian-muller-fifa-20,1-fsv-mainz-05,GK,74,1,22,fifa20
jeremiah-st-juste-fifa-20,1-fsv-mainz-05,RCB,74,4,23,fifa20
jeffrey-bruma-fifa-20,1-fsv-mainz-05,CB,75,13,28,fifa20
moussa-niakhate-fifa-20,1-fsv-mainz-05,LCB,75,19,24,fifa20
ridle-baku-fifa-20,1-fsv-mainz-05,RM,70,34,22,fifa20
leandro-barreiro-martins-fifa-20,1-fsv-mainz-05,RCM,64,35,20,fifa20
diego-contento-fifa-20,fortuna-dusseldorf,LB,69,26,30,fifa20
johannes-buhler-fifa-20,fortuna-dusseldorf,CM,60,40,22,fifa20
raphael-wolf-fifa-20,fortuna-dusseldorf,GK,71,30,32,fifa20
dodi-lukebakio-fifa-20,hertha-bsc,RM,76,28,22,fifa20
javairo-dilrosun-fifa-20,hertha-bsc,LM,73,16,22,fifa20
danny-latza-fifa-20,1-fsv-mainz-05,LCM,75,6,30,fifa20
daniel-brosinski-fifa-20,1-fsv-mainz-05,LM,75,18,31,fifa20
levin-oztunali-fifa-20,1-fsv-mainz-05,RF,73,8,24,fifa20
robin-quaison-fifa-20,1-fsv-mainz-05,LF,76,7,26,fifa20
adam-szalai-fifa-20,1-fsv-mainz-05,ST,74,28,32,fifa20
karim-onisiwo-fifa-20,1-fsv-mainz-05,ST,75,21,28,fifa20
jean-philippe-mateta-fifa-20,1-fsv-mainz-05,ST,77,9,23,fifa20
phillipp-mwene-fifa-20,1-fsv-mainz-05,RB,71,23,26,fifa20
ji-dong-won-fifa-20,1-fsv-mainz-05,CF,72,11,29,fifa20
stefan-bell-fifa-20,1-fsv-mainz-05,CB,74,16,28,fifa20
edimilson-fernandes-fifa-20,1-fsv-mainz-05,CM,72,20,24,fifa20
alexander-hack-fifa-20,1-fsv-mainz-05,CB,73,42,26,fifa20
matheus-cunha-fifa-20,hertha-bsc,CAM,75,26,21,fifa20
krzysztof-piatek-fifa-20,hertha-bsc,ST,79,7,25,fifa20
vladimir-darida-fifa-20,hertha-bsc,CM,77,6,29,fifa20
jordan-torunarigha-fifa-20,hertha-bsc,CB,73,25,22,fifa20
pascal-kopke-fifa-20,hertha-bsc,ST,71,14,24,fifa20
vedad-ibisevic-fifa-20,hertha-bsc,ST,76,19,35,fifa20
arne-maier-fifa-20,hertha-bsc,CM,76,23,21,fifa20
peter-pekarik-fifa-20,hertha-bsc,RB,73,2,33,fifa20
mathew-leckie-fifa-20,hertha-bsc,RM,73,11,29,fifa20
marius-wolf-fifa-20,hertha-bsc,RM,76,30,25,fifa20
marko-grujic-fifa-20,hertha-bsc,CM,77,15,24,fifa20
dennis-smarsch-fifa-20,hertha-bsc,GK,62,12,21,fifa20
marvin-plattenhardt-fifa-20,hertha-bsc,LB,75,21,28,fifa20
niklas-stark-fifa-20,hertha-bsc,CB,78,5,25,fifa20
lazar-samardzic-fifa-20,hertha-bsc,CAM,60,40,18,fifa20
pal-dardai-fifa-20,hertha-bsc,LM,64,24,21,fifa20
julian-albrecht-fifa-20,hertha-bsc,CDM,56,39,18,fifa20
kunde-malong-fifa-20,1-fsv-mainz-05,CDM,76,14,24,fifa20
finn-dahmen-fifa-20,1-fsv-mainz-05,GK,63,37,22,fifa20
ronael-pierre-gabriel-fifa-20,1-fsv-mainz-05,RB,70,2,22,fifa20
aaron-martin-fifa-20,1-fsv-mainz-05,LB,76,3,23,fifa20
jean-paul-boetius-fifa-20,1-fsv-mainz-05,CAM,78,5,26,fifa20
merveille-papela-fifa-20,1-fsv-mainz-05,CM,58,46,19,fifa20
erkan-eyibil-fifa-20,1-fsv-mainz-05,CAM,59,38,19,fifa20
cyrill-akono-fifa-20,1-fsv-mainz-05,ST,64,30,20,fifa20
jonathan-meier-fifa-20,1-fsv-mainz-05,LB,61,17,20,fifa20
